top - 17:30:43 up  3:02,  2 users,  load average: 0.00, 0.04, 0.05
Tasks: 480 total,   1 running, 476 sleeping,   2 stopped,   1 zombie
%Cpu(s):  1.2 us,  0.6 sy,  0.1 ni, 97.3 id,  0.8 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem:   2035884 total,  1027580 used,  1008304 free,    78016 buffers
KiB Swap:  2094076 total,        0 used,  2094076 free.   356908 cached Mem

   PID USER      PR  NI    VIRT    RES    SHR S %CPU %MEM     TIME+ COMMAND
    78 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/70
    79 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/71
    80 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/72
    81 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/73
    82 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/74
    83 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/75
    84 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/76
    85 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/77
    86 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/78
    87 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/79
    88 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/80
    89 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/81
    90 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/82
    91 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/83
    92 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/84
    93 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/85
    94 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/86
    95 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/87
    96 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/88
    97 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/89
    98 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/90
    99 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/91
   100 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/92
   101 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/93
   102 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/94
   103 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/95
   104 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/96
   105 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/97
   106 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/98
   107 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/99
   108 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/100
   109 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/101
   110 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/102
   111 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/103
   112 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/104
   113 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/105
   114 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/106
   115 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/107
   116 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/108
   117 root      20   0       0      0      0 S  0.0  0.0   0:00.00 rcuos/109
