top - 17:30:43 up  3:02,  2 users,  load average: 0.00, 0.04, 0.05
Tasks: 480 total,   1 running, 476 sleeping,   2 stopped,   1 zombie
%Cpu(s):  1.2 us,  0.6 sy,  0.1 ni, 97.3 id,  0.8 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem:   2035884 total,  1027580 used,  1008304 free,    78016 buffers
KiB Swap:  2094076 total,        0 used,  2094076 free.   356908 cached Mem

   PID USER      PR  NI    VIRT    RES    SHR S %CPU %MEM     TIME+ COMMAND
   423 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 scsi_tmf_21
   424 root      20   0       0      0      0 S  0.0  0.0   0:00.00 scsi_eh_22
   425 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 scsi_tmf_22
   426 root      20   0       0      0      0 S  0.0  0.0   0:00.00 scsi_eh_23
   427 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 scsi_tmf_23
   428 root      20   0       0      0      0 S  0.0  0.0   0:00.00 scsi_eh_24
   429 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 scsi_tmf_24
   430 root      20   0       0      0      0 S  0.0  0.0   0:00.00 scsi_eh_25
   431 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 scsi_tmf_25
   432 root      20   0       0      0      0 S  0.0  0.0   0:00.00 scsi_eh_26
   433 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 scsi_tmf_26
   434 root      20   0       0      0      0 S  0.0  0.0   0:00.00 scsi_eh_27
   435 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 scsi_tmf_27
   436 root      20   0       0      0      0 S  0.0  0.0   0:00.00 scsi_eh_28
   437 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 scsi_tmf_28
   438 root      20   0       0      0      0 S  0.0  0.0   0:00.00 scsi_eh_29
   439 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 scsi_tmf_29
   440 root      20   0       0      0      0 S  0.0  0.0   0:00.00 scsi_eh_30
   441 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 scsi_tmf_30
   442 root      20   0       0      0      0 S  0.0  0.0   0:00.00 scsi_eh_31
   443 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 scsi_tmf_31
   472 root      20   0       0      0      0 S  0.0  0.0   0:00.00 scsi_eh_32
   473 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 scsi_tmf_32
   475 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 kworker/0:1H
   487 root      20   0       0      0      0 S  0.0  0.0   0:01.32 jbd2/sda1-8
   488 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 ext4-rsv-conver
   611 root      20   0   19488   2056   1808 S  0.0  0.1   0:00.31 upstart-udev-br
   617 root      20   0   52056   3888   2924 S  0.0  0.2   0:00.16 systemd-udevd
   725 message+  20   0   40104   3596   2348 S  0.0  0.2   0:00.90 dbus-daemon
   751 root      20   0   15420   1608   1324 S  0.0  0.1   0:00.11 upstart-file-br
   755 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 kworker/u257:0
   757 syslog    20   0  255852   4912   2512 S  0.0  0.2   0:00.09 rsyslogd
   759 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 hci0
   763 root      20   0   19312   3784   3480 S  0.0  0.2   0:00.01 bluetoothd
   773 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 hci0
   776 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 ttm_swap
   790 root      10 -10       0      0      0 S  0.0  0.0   0:00.00 krfcommd
   795 root       0 -20       0      0      0 S  0.0  0.0   0:00.00 kworker/u257:1
   803 root      20   0   43544   3328   2948 S  0.0  0.2   0:00.10 systemd-logind
   807 avahi     20   0   32364   2896   2596 S  0.0  0.1   0:00.16 avahi-daemon
   809 avahi     20   0   32236    248      0 S  0.0  0.0   0:00.00 avahi-daemon
   895 root      20   0  316768  16020  13760 S  0.0  0.8   0:00.40 smbd
   956 root      20   0  330256   7380   6252 S  0.0  0.4   0:00.04 ModemManager
  1041 root      20   0   15664   1956   1420 S  0.0  0.1   0:00.05 upstart-socket-
  1049 root      20   0  344932  10044   8596 S  0.0  0.5   0:00.61 NetworkManager
  1061 root      20   0  280888   7208   5360 S  0.0  0.4   0:00.56 polkitd
  1114 root      20   0   10240   5256   2972 S  0.0  0.3   0:00.15 dhclient
  1117 root      20   0  308684   5344   3184 S  0.0  0.3   0:00.00 smbd
  1119 root      20   0  316776   6888   4628 S  0.0  0.3   0:00.18 smbd
  1219 root      20   0   20024   2068   1916 S  0.0  0.1   0:00.00 getty
  1224 root      20   0   20024   2072   1924 S  0.0  0.1   0:00.00 getty
  1230 root      20   0   20024   2072   1928 S  0.0  0.1   0:00.00 getty
  1231 root      20   0   20024   2048   1900 S  0.0  0.1   0:00.00 getty
  1234 root      20   0   20024   2144   1992 S  0.0  0.1   0:00.00 getty
  1246 nobody    20   0   35232   3208   2968 S  0.0  0.2   0:00.08 dnsmasq
  1305 root      20   0   23664   2244   2012 S  0.0  0.1   0:00.05 cron
  1337 whoopsie  20   0  369864  13648   9888 S  0.0  0.7   0:00.24 whoopsie
  1356 root      20   0  351648  10084   5200 S  0.0  0.5   0:00.12 lightdm
  1370 root      20   0   75376   6148   5260 S  0.0  0.3   0:00.02 cups-browsed
  1420 kernoops  20   0   37164   2468   2152 S  0.0  0.1   0:00.28 kerneloops
  1422 root      20   0  366296  82048  31536 S  0.0  4.0   0:37.98 Xorg
  1425 root      20   0  287472   6456   5660 S  0.0  0.3   0:00.26 accounts-daemon
  1437 root      20   0    4380   1684   1520 S  0.0  0.1   0:00.33 acpid
  1543 root      20   0  278188  11480   9568 S  0.0  0.6   0:00.36 winbindd
  1546 root      20   0  163656   7080   6284 S  0.0  0.3   0:15.98 vmtoolsd
  1593 root      20   0  231468   5536   3912 S  0.0  0.3   0:00.53 nmbd
  1599 root      20   0  278320   6272   4368 S  0.0  0.3   0:00.04 winbindd
  1620 root      20   0   20024   2120   1976 S  0.0  0.1   0:00.00 getty
  1733 root      20   0       0      0      0 S  0.0  0.0   0:00.00 kauditd
  1790 root      20   0  185148   6868   6004 S  0.0  0.3   0:00.06 lightdm
  1816 root      20   0  239408   7356   6420 S  0.0  0.4   0:00.09 upowerd
  1845 rtkit     21   1  168928   2504   2276 S  0.0  0.1   0:00.20 rtkit-daemon
  2083 root      20   0   76880   6476   5372 S  0.0  0.3   0:00.10 cupsd
  2086 lp        20   0   63176   4004   3504 S  0.0  0.2   0:00.01 dbus
  2233 mascot    20   0  296924   7248   6576 S  0.0  0.4   0:00.13 gnome-keyring-d
  2235 mascot    20   0   40340   4300   3248 S  0.0  0.2   0:00.52 init
  2320 mascot    20   0   40056   3372   2140 S  0.0  0.2   0:00.97 dbus-daemon
  2331 mascot    20   0   22312   2340   2188 S  0.0  0.1   0:00.01 upstart-event-b
  2346 mascot    20   0   78212   8032   7508 S  0.0  0.4   0:00.13 window-stack-br
  2364 mascot    20   0  361724   6848   5580 S  0.0  0.3   0:09.26 ibus-daemon
  2376 mascot    20   0  196664   7524   4876 S  0.0  0.4   0:00.09 gvfsd
  2387 mascot    20   0  528744  21792  15652 S  0.0  1.1   0:01.16 bamfdaemon
  2388 mascot    20   0  345684   5652   5000 S  0.0  0.3   0:00.01 gvfsd-fuse
  2398 mascot    20   0  739796  26628  20500 S  0.0  1.3   0:00.80 unity-settings-
  2404 mascot    20   0  644212  31888  27552 S  0.0  1.6   0:00.49 hud-service
  2406 mascot    20   0  337608   5804   5336 S  0.0  0.3   0:00.04 at-spi-bus-laun
  2408 mascot    20   0  280896   8248   5596 S  0.0  0.4   0:00.11 ibus-dconf
  2409 mascot    20   0  723132  20756  15180 S  0.0  1.0   0:00.62 gnome-session
  2413 mascot    20   0  459376  23724  19216 S  0.0  1.2   0:01.56 ibus-ui-gtk3
  2419 mascot    20   0   39272   3504   2988 S  0.0  0.2   0:00.06 dbus-daemon
  2424 mascot    20   0  548212  26076  20444 S  0.0  1.3   0:01.58 unity-panel-ser
  2425 mascot    20   0  386908  13516  12008 S  0.0  0.7   0:00.09 ibus-x11
  2427 mascot    20   0  124932   4940   4508 S  0.0  0.2   0:00.08 at-spi2-registr
  2435 mascot    20   0   22320   1672   1408 S  0.0  0.1   0:00.15 upstart-dbus-br
  2437 mascot    20   0   22320   1656   1392 S  0.0  0.1   0:00.02 upstart-dbus-br
  2439 mascot    20   0   30924   1564   1220 S  0.0  0.1   0:00.04 upstart-file-br
  2465 mascot    20   0       0      0      0 Z  0.0  0.0   0:00.08 check_gl_textur
  2467 mascot    20   0  566628  21820  16796 S  0.0  1.1   0:00.48 indicator-keybo
  2469 mascot    20   0  335100   4572   4188 S  0.0  0.2   0:00.00 indicator-messa
  2471 mascot    20   0  263652   7592   5036 S  0.0  0.4   0:00.03 indicator-bluet
  2475 mascot    20   0  278468   6044   5416 S  0.0  0.3   0:00.09 indicator-power
  2478 mascot    20   0  769276  18584  12304 S  0.0  0.9   0:00.42 indicator-datet
  2482 mascot    20   0  479276   9384   8116 S  0.0  0.5   0:00.13 indicator-sound
  2485 mascot    20   0  520540  21640  16032 S  0.0  1.1   0:00.25 indicator-print
  2487 mascot    20   0  631604   6956   6056 S  0.0  0.3   0:00.29 indicator-sessi
  2499 mascot    20   0  360540   8324   7276 S  0.0  0.4   0:00.05 indicator-appli
  2523 mascot    20   0  373564   9644   7712 S  0.0  0.5   0:00.62 pulseaudio
  2526 mascot    20   0  636676  18848  14048 S  0.0  0.9   0:00.16 evolution-sourc
  2539 mascot    20   0  205168   6300   5732 S  0.0  0.3   0:02.81 ibus-engine-sim
  2542 colord    20   0  301532   8748   7412 S  0.0  0.4   0:00.21 colord
  2547 mascot    20   0  178328   4788   4232 S  0.0  0.2   0:00.10 dconf-service
  2566 mascot    20   0  340344  17612  14792 S  0.0  0.9   0:00.29 notify-osd
  2590 mascot    20   0 1151200  93280  61572 S  0.0  4.6   1:23.48 compiz
  2598 mascot    20   0  552104  28616  23272 S  0.0  1.4   0:00.32 nm-applet
  2604 mascot    20   0  477016  16232  13456 S  0.0  0.8   0:00.25 unity-fallback-
  2605 mascot    20   0  390056  24332  21276 S  0.0  1.2   0:14.86 vmtoolsd
  2607 mascot    20   0  331688  16984  14200 S  0.0  0.8   0:00.17 polkit-gnome-au
  2612 mascot    20   0  812480  50488  13812 S  0.0  2.5   0:00.67 evolution-calen
  2613 mascot    20   0 1043832  54064  41448 S  0.0  2.7   0:06.19 nautilus
  2631 mascot    20   0  298856   7844   6392 S  0.0  0.4   0:00.05 gvfs-udisks2-vo
  2635 root      20   0  371396   9520   5864 S  0.0  0.5   0:00.10 udisksd
  2648 mascot    20   0  285988   6432   5776 S  0.0  0.3   0:00.01 gvfs-afc-volume
  2652 mascot    20   0   58036   6240   4788 S  0.0  0.3   0:00.06 gconfd-2
  2657 mascot    20   0  200296   7368   4796 S  0.0  0.4   0:00.03 gvfs-mtp-volume
  2661 mascot    20   0  212460   5896   5228 S  0.0  0.3   0:00.01 gvfs-gphoto2-vo
  2688 mascot    20   0  433164   6380   5700 S  0.0  0.3   0:00.03 gvfsd-trash
  2694 mascot    20   0  270400   4612   4228 S  0.0  0.2   0:00.01 gvfsd-burn
  2716 mascot    20   0  124460   5336   4840 S  0.0  0.3   0:00.01 gvfsd-metadata
  2734 mascot    20   0  455080  20640  15472 S  0.0  1.0   0:00.23 telepathy-indic
  2735 root      20   0       0      0      0 S  0.0  0.0   0:09.61 kworker/0:0
  2743 mascot    20   0  322396  11912  10572 S  0.0  0.6   0:00.08 mission-control
  2757 mascot    20   0  385472  12084  10428 S  0.0  0.6   0:00.30 zeitgeist-datah
  2762 mascot    20   0  331296   6124   5320 S  0.0  0.3   0:00.08 zeitgeist-daemo
  2768 mascot    20   0  233208   9504   8484 S  0.0  0.5   0:00.09 zeitgeist-fts
  2777 mascot    20   0   11424    676    604 S  0.0  0.0   0:00.00 cat
  2785 mascot    20   0   14836   1848   1696 S  0.0  0.1   0:00.01 gnome-pty-helpe
  2786 mascot    20   0   27084   5788   3476 S  0.0  0.3   0:01.36 bash
  2829 mascot    20   0  570516  18780  15680 S  0.0  0.9   0:00.16 update-notifier
  2847 mascot    20   0  459840   9356   6424 S  0.0  0.5   0:00.07 deja-dup-monito
  2914 root      20   0       0      0      0 S  0.0  0.0   0:00.95 kworker/u256:1
  3169 mascot    20   0   53884   7768   5256 T  0.0  0.4   0:00.32 vi
  3171 mascot    20   0   53884   7788   5276 T  0.0  0.4   0:00.10 vi
  3191 root      20   0       0      0      0 S  0.0  0.0   0:00.18 kworker/u256:2
